id,Entity,Code,Day,stay_home_requirements
118833,Sweden,SWE,2020-08-07,1
118834,Sweden,SWE,2020-08-08,1
118835,Sweden,SWE,2020-08-09,1
118836,Sweden,SWE,2020-08-10,1
118837,Sweden,SWE,2020-08-11,1
118838,Sweden,SWE,2020-08-12,1
118839,Sweden,SWE,2020-08-13,1
118840,Sweden,SWE,2020-08-14,1
118841,Sweden,SWE,2020-08-15,1
118842,Sweden,SWE,2020-08-16,1
118843,Sweden,SWE,2020-08-17,1
118844,Sweden,SWE,2020-08-18,1
118845,Sweden,SWE,2020-08-19,1
118846,Sweden,SWE,2020-08-20,1
118847,Sweden,SWE,2020-08-21,1
118848,Sweden,SWE,2020-08-22,1
118849,Sweden,SWE,2020-08-23,1
118850,Sweden,SWE,2020-08-24,1
118851,Sweden,SWE,2020-08-25,1
118852,Sweden,SWE,2020-08-26,1
118853,Sweden,SWE,2020-08-27,1
118854,Sweden,SWE,2020-08-28,1
118855,Sweden,SWE,2020-08-29,1
118856,Sweden,SWE,2020-08-30,1
118857,Sweden,SWE,2020-08-31,1
118858,Sweden,SWE,2020-09-01,1
118859,Sweden,SWE,2020-09-02,1
118860,Sweden,SWE,2020-09-03,1
118861,Sweden,SWE,2020-09-04,1
118862,Sweden,SWE,2020-09-05,1
118863,Sweden,SWE,2020-09-06,1
118864,Sweden,SWE,2020-09-07,1
118865,Sweden,SWE,2020-09-08,1
118866,Sweden,SWE,2020-09-09,1
118867,Sweden,SWE,2020-09-10,1
118868,Sweden,SWE,2020-09-11,1
118869,Sweden,SWE,2020-09-12,1
118870,Sweden,SWE,2020-09-13,1
118871,Sweden,SWE,2020-09-14,1
118872,Sweden,SWE,2020-09-15,1
118873,Sweden,SWE,2020-09-16,1
118874,Sweden,SWE,2020-09-17,1
118875,Sweden,SWE,2020-09-18,1
118876,Sweden,SWE,2020-09-19,1
118877,Sweden,SWE,2020-09-20,1
118878,Sweden,SWE,2020-09-21,1
118879,Sweden,SWE,2020-09-22,1
118880,Sweden,SWE,2020-09-23,1
118881,Sweden,SWE,2020-09-24,1
118882,Sweden,SWE,2020-09-25,1
118883,Sweden,SWE,2020-09-26,1
118884,Sweden,SWE,2020-09-27,1
118885,Sweden,SWE,2020-09-28,1
118886,Sweden,SWE,2020-09-29,1
118887,Sweden,SWE,2020-09-30,1
118888,Sweden,SWE,2020-10-01,1
118889,Sweden,SWE,2020-10-02,1
118890,Sweden,SWE,2020-10-03,1
118891,Sweden,SWE,2020-10-04,1
118892,Sweden,SWE,2020-10-05,1
118893,Sweden,SWE,2020-10-06,1
118894,Sweden,SWE,2020-10-07,1
118895,Sweden,SWE,2020-10-08,1
118896,Sweden,SWE,2020-10-09,1
118897,Sweden,SWE,2020-10-10,1
118898,Sweden,SWE,2020-10-11,1
118899,Sweden,SWE,2020-10-12,1
118900,Sweden,SWE,2020-10-13,1
118901,Sweden,SWE,2020-10-14,1
118902,Sweden,SWE,2020-10-15,1
118903,Sweden,SWE,2020-10-16,1
118904,Sweden,SWE,2020-10-17,1
118905,Sweden,SWE,2020-10-18,1
118906,Sweden,SWE,2020-10-19,1
118907,Sweden,SWE,2020-10-20,1
118908,Sweden,SWE,2020-10-21,1
118909,Sweden,SWE,2020-10-22,1
118910,Sweden,SWE,2020-10-23,1
118911,Sweden,SWE,2020-10-24,1
118912,Sweden,SWE,2020-10-25,1
118913,Sweden,SWE,2020-10-26,1
118914,Sweden,SWE,2020-10-27,1
118915,Sweden,SWE,2020-10-28,1
118916,Sweden,SWE,2020-10-29,1
118917,Sweden,SWE,2020-10-30,1
118918,Sweden,SWE,2020-10-31,1
118919,Sweden,SWE,2020-11-01,1
118920,Sweden,SWE,2020-11-02,1
118921,Sweden,SWE,2020-11-03,1
118922,Sweden,SWE,2020-11-04,1
118923,Sweden,SWE,2020-11-05,1
118924,Sweden,SWE,2020-11-06,1
118925,Sweden,SWE,2020-11-07,1
118926,Sweden,SWE,2020-11-08,1
118927,Sweden,SWE,2020-11-09,1
118928,Sweden,SWE,2020-11-10,1
118929,Sweden,SWE,2020-11-11,1
118930,Sweden,SWE,2020-11-12,1
118931,Sweden,SWE,2020-11-13,1
118932,Sweden,SWE,2020-11-14,1
118933,Sweden,SWE,2020-11-15,1
118934,Sweden,SWE,2020-11-16,1
118935,Sweden,SWE,2020-11-17,1
118936,Sweden,SWE,2020-11-18,1
118937,Sweden,SWE,2020-11-19,1
118938,Sweden,SWE,2020-11-20,1
118939,Sweden,SWE,2020-11-21,1
118940,Sweden,SWE,2020-11-22,1
118941,Sweden,SWE,2020-11-23,1
118942,Sweden,SWE,2020-11-24,1
118943,Sweden,SWE,2020-11-25,1
118944,Sweden,SWE,2020-11-26,1
118945,Sweden,SWE,2020-11-27,1
118946,Sweden,SWE,2020-11-28,1
118947,Sweden,SWE,2020-11-29,1
118948,Sweden,SWE,2020-11-30,1
118949,Sweden,SWE,2020-12-01,1
118950,Sweden,SWE,2020-12-02,1
118951,Sweden,SWE,2020-12-03,1
118952,Sweden,SWE,2020-12-04,1
118953,Sweden,SWE,2020-12-05,1
118954,Sweden,SWE,2020-12-06,1
118955,Sweden,SWE,2020-12-07,1
118956,Sweden,SWE,2020-12-08,1
118957,Sweden,SWE,2020-12-09,1
118958,Sweden,SWE,2020-12-10,1
118959,Sweden,SWE,2020-12-11,1
118960,Sweden,SWE,2020-12-12,1
118961,Sweden,SWE,2020-12-13,1
118962,Sweden,SWE,2020-12-14,1
118963,Sweden,SWE,2020-12-15,1
118964,Sweden,SWE,2020-12-16,1
118965,Sweden,SWE,2020-12-17,1
118966,Sweden,SWE,2020-12-18,1
118967,Sweden,SWE,2020-12-19,1
118968,Sweden,SWE,2020-12-20,1
118969,Sweden,SWE,2020-12-21,1
118970,Sweden,SWE,2020-12-22,1
118971,Sweden,SWE,2020-12-23,1
118972,Sweden,SWE,2020-12-24,1
118973,Sweden,SWE,2020-12-25,1
118974,Sweden,SWE,2020-12-26,1
118975,Sweden,SWE,2020-12-27,1
118976,Sweden,SWE,2020-12-28,1
118977,Sweden,SWE,2020-12-29,1
118978,Sweden,SWE,2020-12-30,1
118979,Sweden,SWE,2020-12-31,1
118980,Sweden,SWE,2021-01-01,1
118981,Sweden,SWE,2021-01-02,1
118982,Sweden,SWE,2021-01-03,1
118983,Sweden,SWE,2021-01-04,1
118984,Sweden,SWE,2021-01-05,1
118985,Sweden,SWE,2021-01-06,1
118986,Sweden,SWE,2021-01-07,1
118987,Sweden,SWE,2021-01-08,1
118988,Sweden,SWE,2021-01-09,1
118989,Sweden,SWE,2021-01-10,1
118990,Sweden,SWE,2021-01-11,1
118991,Sweden,SWE,2021-01-12,1
118992,Sweden,SWE,2021-01-13,1
118993,Sweden,SWE,2021-01-14,1
118994,Sweden,SWE,2021-01-15,1
118995,Sweden,SWE,2021-01-16,1
118996,Sweden,SWE,2021-01-17,1
118997,Sweden,SWE,2021-01-18,1
118998,Sweden,SWE,2021-01-19,1
118999,Sweden,SWE,2021-01-20,1
119000,Sweden,SWE,2021-01-21,1
119001,Sweden,SWE,2021-01-22,1
119002,Sweden,SWE,2021-01-23,1
119003,Sweden,SWE,2021-01-24,1
119004,Sweden,SWE,2021-01-25,1
119005,Sweden,SWE,2021-01-26,1
119006,Sweden,SWE,2021-01-27,1
119007,Sweden,SWE,2021-01-28,1
119008,Sweden,SWE,2021-01-29,1
119009,Sweden,SWE,2021-01-30,1
119010,Sweden,SWE,2021-01-31,1
119011,Sweden,SWE,2021-02-01,1
119012,Sweden,SWE,2021-02-02,1
119013,Sweden,SWE,2021-02-03,1
119014,Sweden,SWE,2021-02-04,1
119015,Sweden,SWE,2021-02-05,1
119016,Sweden,SWE,2021-02-06,1
119017,Sweden,SWE,2021-02-07,1
119018,Sweden,SWE,2021-02-08,1
119019,Sweden,SWE,2021-02-09,1
119020,Sweden,SWE,2021-02-10,1
119021,Sweden,SWE,2021-02-11,1
119022,Sweden,SWE,2021-02-12,1
119023,Sweden,SWE,2021-02-13,1
119024,Sweden,SWE,2021-02-14,1
119025,Sweden,SWE,2021-02-15,1
119026,Sweden,SWE,2021-02-16,1
119027,Sweden,SWE,2021-02-17,1
119028,Sweden,SWE,2021-02-18,1
119029,Sweden,SWE,2021-02-19,1
119030,Sweden,SWE,2021-02-20,1
