Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stockholm-Observatoriekullen A;98230;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-10-01 00:00:00;2022-03-28 17:00:00;43.133;59.3417;18.0549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2022-03-11 00:00:01;2022-03-12 00:00:00;2022-03-11;2.2;Y
2022-03-12 00:00:01;2022-03-13 00:00:00;2022-03-12;4.7;Y
2022-03-13 00:00:01;2022-03-14 00:00:00;2022-03-13;5.2;Y
2022-03-14 00:00:01;2022-03-15 00:00:00;2022-03-14;5.5;Y
2022-03-15 00:00:01;2022-03-16 00:00:00;2022-03-15;3.8;Y
2022-03-16 00:00:01;2022-03-17 00:00:00;2022-03-16;5.0;Y
2022-03-17 00:00:01;2022-03-18 00:00:00;2022-03-17;2.8;Y
2022-03-18 00:00:01;2022-03-19 00:00:00;2022-03-18;6.0;Y
2022-03-19 00:00:01;2022-03-20 00:00:00;2022-03-19;6.6;Y
2022-03-20 00:00:01;2022-03-21 00:00:00;2022-03-20;8.0;Y
2022-03-21 00:00:01;2022-03-22 00:00:00;2022-03-21;6.3;Y
2022-03-22 00:00:01;2022-03-23 00:00:00;2022-03-22;6.7;Y
2022-03-23 00:00:01;2022-03-24 00:00:00;2022-03-23;6.4;Y
2022-03-24 00:00:01;2022-03-25 00:00:00;2022-03-24;8.2;Y
2022-03-25 00:00:01;2022-03-26 00:00:00;2022-03-25;8.9;Y
2022-03-26 00:00:01;2022-03-27 00:00:00;2022-03-26;4.8;Y
2022-03-27 00:00:01;2022-03-28 00:00:00;2022-03-27;5.1;Y
