,Media_Adwell_upperfunnel_native,Media_Bing_lowerfunnel_search_brand,Media_Bing_midfunnel_search_midbrand,Media_Bing_upperfunnel_search_nobrand,Media_DBM_lowerfunnel_display,Media_DBM_midfunnel_display,Media_DBM_upperfunnel_display,Media_DBM_upperfunnel_video,Media_DC_DBM_upperfunnel_video,Media_Eurosize_upperfunnel_OOH_JCD,Media_Eurosize_upperfunnel_OOH_VA,Media_Facebook_lowerfunnel_display,Media_Facebook_lowerfunnel_video,Media_Facebook_upperfunnel_display,Media_Facebook_upperfunnel_video,Media_Flygstart_upperfunnel_newsletter,Media_Google_lowerfunnel_display,Media_Google_lowerfunnel_search_brand,Media_Google_midfunnel_display,Media_Google_midfunnel_search_midbrand,Media_Google_upperfunnel_display,Media_Google_upperfunnel_search_nobrand,Media_Google_video_lowerfunnel_Youtube,Media_Google_video_upperfunnel_Youtube,Media_HejSenior_upperfunnel_newsletter,Media_Instagram_lowerfunnel_display,Media_Instagram_lowerfunnel_video,Media_Instagram_upperfunnel_display,Media_Instagram_upperfunnel_video,Media_MediaMath_upperfunnel_video,Media_Newsletter_lowerfunnel,Media_Newsner_midfunnel_native,Media_Online_radio_upperfunnel,Media_Radio_upperfunnel,Media_Secreteescape_midfunnel_display,Media_Smarter_Travel_upperfunnel_affiliate,Media_Snapchat_upperfunnel_display,Media_Snapchat_upperfunnel_video,Media_Sociomantic_lowerfunnel_retarg_display,Media_Sociomantic_upperfunnel_prospecting_display,Media_TV_upperfunnel,Media_Tiktok_upperfunnel_video,Media_TradeTracker_upperfunnel_affiliate,Media_Youtube_Masthead_upperfunnel_video
2017-07-12,0,301.0,163.0,981.0,0.0,0.0,0.0,0,0.0,0,0,2899.0,0.0,56.0,54.0,0.0,678.0,742.0,3392.0,7003.0,4955.0,16481.0,6.0,152.0,0.0,44.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,13.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-13,0,251.0,161.0,848.0,0.0,0.0,0.0,0,0.0,0,0,2855.0,0.0,36.0,67.0,0.0,499.0,477.0,3127.0,7599.0,1731.0,15108.0,10.0,146.0,0.0,53.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,16.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-14,0,192.0,123.0,800.0,0.0,0.0,0.0,0,0.0,0,0,2530.0,0.0,44.0,60.0,0.0,446.0,548.0,3027.0,6812.0,1603.0,12517.0,10.0,153.0,0.0,56.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,12.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-15,0,108.0,77.0,611.0,0.0,0.0,0.0,0,0.0,0,0,2519.0,0.0,37.0,68.0,0.0,410.0,532.0,3534.0,4920.0,1720.0,12660.0,7.0,122.0,0.0,43.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,2.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-16,0,242.0,158.0,930.0,0.0,0.0,0.0,0,0.0,0,0,2954.0,0.0,36.0,64.0,0.0,596.0,665.0,3718.0,9281.0,1955.0,16835.0,8.0,184.0,0.0,52.0,0.0,0.0,0.0,0,858.0,0.0,0,0,0.0,12.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-17,0,249.0,162.0,1049.0,0.0,0.0,0.0,0,0.0,0,0,3163.0,0.0,58.0,73.0,0.0,148.0,743.0,3420.0,7979.0,1732.0,18049.0,4.0,169.0,0.0,38.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,21.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-18,0,235.0,141.0,910.0,0.0,0.0,0.0,0,0.0,0,0,3566.0,0.0,41.0,50.0,0.0,567.0,518.0,3094.0,8434.0,2778.0,16321.0,6.0,160.0,0.0,59.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,18.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-19,0,209.0,152.0,819.0,0.0,0.0,0.0,0,0.0,0,0,2798.0,0.0,50.0,68.0,0.0,561.0,710.0,3396.0,6328.0,2996.0,16298.0,7.0,189.0,0.0,38.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,21.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-20,0,182.0,110.0,762.0,0.0,0.0,0.0,0,0.0,0,0,1988.0,0.0,36.0,56.0,0.0,630.0,424.0,4774.0,7420.0,2893.0,15779.0,8.0,192.0,0.0,27.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,16.0,0,0,0.0,0.0,0,0,0.0,0.0
2017-07-21,0,223.0,131.0,840.0,0.0,0.0,0.0,0,0.0,0,0,1784.0,0.0,45.0,57.0,0.0,535.0,620.0,5680.0,7024.0,3347.0,14526.0,7.0,173.0,0.0,37.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,19.0,0,0,0.0,0.0,0,0,0.0,0.0
