Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norsborg 2;97160;2.0

Parameternamn;Beskrivning;Enhet
Nederbörd;1 gång/dygn, kl 18;code

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1968-01-01 00:00:00;1974-12-31 23:59:59;15.0;59.2524;17.7989
1975-01-01 00:00:00;2022-02-28 23:59:59;8.671;59.2518;17.7960

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbörd;Kvalitet;;Tidsutsnitt:
1969-11-05 06:00:01;1969-11-06 06:00:00;1969-11-05;regn;Y
1969-11-06 06:00:01;1969-11-07 06:00:00;1969-11-06;regn;Y
1969-11-07 06:00:01;1969-11-08 06:00:00;1969-11-07;regn;Y
1969-11-08 06:00:01;1969-11-09 06:00:00;1969-11-08;regn;Y
1969-11-09 06:00:01;1969-11-10 06:00:00;1969-11-09;regn;Y
1969-11-10 06:00:01;1969-11-11 06:00:00;1969-11-10;regn;Y
1969-11-11 06:00:01;1969-11-12 06:00:00;1969-11-11;regn;Y
1969-11-12 06:00:01;1969-11-13 06:00:00;1969-11-12;regn;Y
1969-11-13 06:00:01;1969-11-14 06:00:00;1969-11-13;regn;Y
1969-11-14 06:00:01;1969-11-15 06:00:00;1969-11-14;regn;Y
1969-11-15 06:00:01;1969-11-16 06:00:00;1969-11-15;regn;Y
1969-11-17 06:00:01;1969-11-18 06:00:00;1969-11-17;regn;Y
1969-11-18 06:00:01;1969-11-19 06:00:00;1969-11-18;regn;Y
1969-11-19 06:00:01;1969-11-20 06:00:00;1969-11-19;duggregn;Y
1969-11-19 06:00:01;1969-11-20 06:00:00;1969-11-19;snöblandat regn;Y
1969-11-20 06:00:01;1969-11-21 06:00:00;1969-11-20;duggregn;Y
1969-11-22 06:00:01;1969-11-23 06:00:00;1969-11-22;snowfall;Y
1969-11-23 06:00:01;1969-11-24 06:00:00;1969-11-23;snowfall;Y
1969-11-27 06:00:01;1969-11-28 06:00:00;1969-11-27;snowfall;Y
1969-11-29 06:00:01;1969-11-30 06:00:00;1969-11-29;snowfall;Y
1969-12-01 06:00:01;1969-12-02 06:00:00;1969-12-01;snowfall;Y
1969-12-02 06:00:01;1969-12-03 06:00:00;1969-12-02;snowfall;Y
1969-12-08 06:00:01;1969-12-09 06:00:00;1969-12-08;snowfall;Y
1969-12-12 06:00:01;1969-12-13 06:00:00;1969-12-12;snowfall;Y
