Date,Open,High,Low,Close
12/19/2019,"12.55","12.78","12.43","12.50"
12/18/2019,"12.24","12.70","11.93","12.58"
12/17/2019,"12.23","12.47","11.90","12.29"
12/16/2019,"12.47","12.53","11.71","12.14"
12/13/2019,"13.18","14.35","12.54","12.63"
12/12/2019,"14.94","15.55","13.60","13.94"
12/11/2019,"15.57","15.97","14.98","14.99"
12/10/2019,"15.80","16.90","14.93","15.68"
12/09/2019,"14.25","16.07","12.25","15.86"
12/06/2019,"14.37","14.47","13.19","13.62"
12/05/2019,"14.46","15.37","14.17","14.52"
12/04/2019,"16.38","16.40","14.12","14.80"
12/03/2019,"14.68","17.99","14.61","15.96"
12/02/2019,"12.69","15.27","12.55","14.91"
11/29/2019,"12.50","12.83","12.12","12.62"
11/28/2019,"11.55","11.79","11.44","11.75"
11/27/2019,"11.55","11.79","11.44","11.75"
11/26/2019,"11.88","12.04","11.42","11.54"
11/25/2019,"12.51","12.59","11.73","11.87"
11/22/2019,"12.82","13.25","12.33","12.34"
11/21/2019,"13.35","13.86","12.49","13.13"
11/20/2019,"13.42","14.17","12.61","12.78"
11/19/2019,"12.33","13.01","12.16","12.86"
11/18/2019,"12.39","13.10","12.32","12.46"
11/15/2019,"12.95","12.97","11.92","12.05"
11/14/2019,"13.16","13.81","12.93","13.05"
11/13/2019,"12.91","13.90","12.88","13.00"
11/12/2019,"12.64","13.10","12.36","12.68"
11/11/2019,"13.15","13.49","12.66","12.69"
11/08/2019,"12.98","13.05","12.00","12.07"
11/07/2019,"12.59","12.89","12.26","12.73"
11/06/2019,"13.18","13.39","12.60","12.62"
11/05/2019,"12.85","13.28","12.25","13.10"
11/04/2019,"12.68","13.13","12.44","12.83"
11/01/2019,"12.99","13.12","12.25","12.30"
10/31/2019,"12.21","13.95","12.19","13.22"
10/30/2019,"13.23","13.77","12.27","12.33"
10/29/2019,"13.16","13.52","13.07","13.20"
10/28/2019,"13.01","13.14","12.66","13.11"
10/25/2019,"13.53","13.79","12.62","12.65"
10/24/2019,"13.98","14.34","13.40","13.71"
10/23/2019,"14.83","15.12","14.01","14.01"
10/22/2019,"13.99","14.61","13.70","14.46"
10/21/2019,"14.24","14.63","14.00","14.00"
10/18/2019,"14.20","15.16","13.78","14.25"
10/17/2019,"13.79","14.18","13.31","13.79"
10/16/2019,"13.94","14.26","13.60","13.68"
10/15/2019,"13.94","14.43","13.39","13.54"
10/14/2019,"15.66","16.50","14.51","14.57"
10/11/2019,"17.35","17.44","15.11","15.58"
10/10/2019,"19.28","19.80","17.56","17.57"
10/09/2019,"19.94","20.00","17.77","18.64"
10/08/2019,"17.61","20.38","17.42","20.28"
10/07/2019,"18.27","18.52","16.44","17.86"
10/04/2019,"19.42","19.97","16.97","17.04"
10/03/2019,"20.11","21.44","19.03","19.12"
10/02/2019,"18.75","21.46","18.75","20.56"
10/01/2019,"16.02","18.62","15.79","18.56"
09/30/2019,"17.23","17.35","16.20","16.24"
09/27/2019,"15.77","18.69","15.15","17.22"
09/26/2019,"16.23","17.09","15.35","16.07"
09/25/2019,"17.05","18.45","15.69","15.96"
09/24/2019,"14.77","17.62","14.33","17.05"
09/23/2019,"15.35","16.00","14.71","14.91"
09/20/2019,"13.94","15.84","13.35","15.32"
09/19/2019,"14.66","14.66","13.31","14.05"
09/18/2019,"14.61","15.80","13.80","13.95"
09/17/2019,"14.92","15.03","14.40","14.44"
09/16/2019,"14.89","15.29","14.50","14.67"
09/13/2019,"14.16","14.31","13.51","13.74"
09/12/2019,"14.69","14.94","13.85","14.22"
09/11/2019,"15.33","15.52","14.55","14.61"
09/10/2019,"15.53","16.52","15.11","15.20"
09/09/2019,"15.26","16.13","14.95","15.27"
09/06/2019,"15.92","16.06","14.91","15.00"
09/05/2019,"16.92","17.05","15.45","16.27"
09/04/2019,"18.23","18.83","17.26","17.33"
09/03/2019,"20.96","21.15","19.41","19.66"
08/30/2019,"17.94","19.18","17.09","18.98"
08/29/2019,"19.02","19.20","17.60","17.88"
08/28/2019,"20.55","21.64","19.10","19.35"
08/27/2019,"20.18","21.04","18.49","20.31"
08/26/2019,"20.34","21.33","19.06","19.32"
08/23/2019,"16.15","21.07","16.04","19.87"
