Date,Open,High,Low,Close
09/16/2019,"525.56","525.56","525.56","525.56"
09/13/2019,"527.63","527.63","527.63","527.63"
09/12/2019,"526.53","526.53","526.53","526.53"
09/11/2019,"524.65","524.65","524.65","524.65"
09/10/2019,"520.95","520.95","520.95","520.95"
09/09/2019,"520.88","520.88","520.88","520.88"
09/06/2019,"520.83","520.83","520.83","520.83"
09/05/2019,"519.55","519.55","519.55","519.55"
09/04/2019,"513.64","513.64","513.64","513.64"
09/03/2019,"507.76","507.76","507.76","507.76"
09/02/2019,"510.43","510.43","510.43","510.43"
08/30/2019,"510.88","510.88","510.88","510.88"
08/28/2019,"504.12","504.12","504.12","504.12"
08/27/2019,"502.58","502.58","502.58","502.58"
08/26/2019,"502.43","502.43","502.43","502.43"
08/23/2019,"500.94","500.94","500.94","500.94"
08/22/2019,"508.91","508.91","508.91","508.91"
08/21/2019,"510.17","510.17","510.17","510.17"
08/20/2019,"506.61","506.61","506.61","506.61"
08/19/2019,"509.06","509.06","509.06","509.06"
08/16/2019,"503.68","503.68","503.68","503.68"
08/15/2019,"497.85","497.85","497.85","497.85"
08/14/2019,"498.63","498.63","498.63","498.63"
08/13/2019,"509.12","509.12","509.12","509.12"
08/12/2019,"505.87","505.87","505.87","505.87"
08/09/2019,"510.01","510.01","510.01","510.01"
08/08/2019,"512.65","512.65","512.65","512.65"
08/07/2019,"505.00","505.00","505.00","505.00"
08/06/2019,"503.97","503.97","503.97","503.97"
08/05/2019,"501.47","501.47","501.47","501.47"
08/02/2019,"514.44","514.44","514.44","514.44"
08/01/2019,"520.57","520.57","520.57","520.57"
07/31/2019,"524.35","524.35","524.35","524.35"
07/30/2019,"528.07","528.07","528.07","528.07"
07/29/2019,"530.15","530.15","530.15","530.15"
07/26/2019,"531.00","531.00","531.00","531.00"
07/25/2019,"529.46","529.46","529.46","529.46"
07/24/2019,"531.82","531.82","531.82","531.82"
07/23/2019,"530.10","530.10","530.10","530.10"
07/22/2019,"527.48","527.48","527.48","527.48"
07/19/2019,"527.04","527.04","527.04","527.04"
07/18/2019,"527.51","527.51","527.51","527.51"
07/17/2019,"527.60","527.60","527.60","527.60"
07/16/2019,"530.07","530.07","530.07","530.07"
07/15/2019,"531.24","531.24","531.24","531.24"
07/12/2019,"530.48","530.48","530.48","530.48"
07/11/2019,"529.18","529.18","529.18","529.18"
07/10/2019,"527.93","527.93","527.93","527.93"
07/09/2019,"525.96","525.96","525.96","525.96"
07/08/2019,"526.39","526.39","526.39","526.39"
07/05/2019,"529.51","529.51","529.51","529.51"
07/04/2019,"531.82","531.82","531.82","531.82"
07/03/2019,"531.14","531.14","531.14","531.14"
07/02/2019,"528.24","528.24","528.24","528.24"
07/01/2019,"526.93","526.93","526.93","526.93"
06/28/2019,"523.44","523.44","523.44","523.44"
06/27/2019,"520.93","520.93","520.93","520.93"
06/26/2019,"518.81","518.81","518.81","518.81"
06/25/2019,"519.78","519.78","519.78","519.78"
06/24/2019,"523.30","523.30","523.30","523.30"
06/21/2019,"523.31","523.31","523.31","523.31"
06/20/2019,"524.44","524.44","524.44","524.44"
06/19/2019,"518.92","518.92","518.92","518.92"
06/18/2019,"515.82","515.82","515.82","515.82"
06/17/2019,"510.81","510.81","510.81","510.81"
06/14/2019,"511.07","511.07","511.07","511.07"
06/13/2019,"512.75","512.75","512.75","512.75"
06/12/2019,"512.46","512.46","512.46","512.46"
06/11/2019,"513.91","513.91","513.91","513.91"
06/10/2019,"512.44","512.44","512.44","512.44"
06/07/2019,"509.76","509.76","509.76","509.76"
06/06/2019,"504.67","504.67","504.67","504.67"
06/05/2019,"503.02","503.02","503.02","503.02"
06/04/2019,"499.21","499.21","499.21","499.21"
06/03/2019,"492.47","492.47","492.47","492.47"
05/31/2019,"492.12","492.12","492.12","492.12"
05/30/2019,"496.22","496.22","496.22","496.22"
05/29/2019,"495.31","495.31","495.31","495.31"
05/28/2019,"499.66","499.66","499.66","499.66"
05/27/2019,"502.24","502.24","502.24","502.24"
05/24/2019,"501.80","501.80","501.80","501.80"
05/23/2019,"500.09","500.09","500.09","500.09"
05/22/2019,"506.01","506.01","506.01","506.01"
05/21/2019,"507.32","507.32","507.32","507.32"
05/20/2019,"504.27","504.27","504.27","504.27"
05/17/2019,"506.93","506.93","506.93","506.93"
05/16/2019,"509.79","509.79","509.79","509.79"
05/15/2019,"506.73","506.73","506.73","506.73"
05/14/2019,"504.17","504.17","504.17","504.17"
05/13/2019,"501.66","501.66","501.66","501.66"
05/10/2019,"511.11","511.11","511.11","511.11"
05/09/2019,"509.33","509.33","509.33","509.33"
05/08/2019,"513.29","513.29","513.29","513.29"
05/07/2019,"514.40","514.40","514.40","514.40"
05/06/2019,"521.35","521.35","521.35","521.35"
05/03/2019,"524.85","524.85","524.85","524.85"
05/02/2019,"521.09","521.09","521.09","521.09"
05/01/2019,"523.07","523.07","523.07","523.07"
04/30/2019,"524.84","524.84","524.84","524.84"
04/29/2019,"524.39","524.39","524.39","524.39"
04/26/2019,"523.74","523.74","523.74","523.74"
04/25/2019,"521.87","521.87","521.87","521.87"
04/24/2019,"523.04","523.04","523.04","523.04"
04/23/2019,"524.53","524.53","524.53","524.53"
04/22/2019,"521.76","521.76","521.76","521.76"
04/19/2019,"521.69","521.69","521.69","521.69"
04/18/2019,"521.66","521.66","521.66","521.66"
04/17/2019,"522.04","522.04","522.04","522.04"
04/16/2019,"522.33","522.33","522.33","522.33"
04/15/2019,"521.51","521.51","521.51","521.51"
04/12/2019,"521.29","521.29","521.29","521.29"
04/11/2019,"518.70","518.70","518.70","518.70"
04/10/2019,"519.26","519.26","519.26","519.26"
04/09/2019,"518.09","518.09","518.09","518.09"
04/08/2019,"519.88","519.88","519.88","519.88"
